execution	set	set_sort	dependence	dependence_sort	dependence_binary	cohort	cohort_sort	model	model_sort	independence_extra_female	independence	model_note
1	testosterone	3	testosterone_detection	3	1	female_perimenopause	5	joint_3	4	hysterectomy;pregnancies;pregnancy	sex_y;sex_x;sex_text;age;body;body_log;region;season;medication_vitamin_d;alteration_sex_hormone;cholesterol_imputation;vitamin_d_imputation;oestradiol_imputation;steroid_globulin_imputation;albumin_imputation	
1	testosterone	3	testosterone_detection	3	1	female_postmenopause	6	unadjust	1	pregnancy	sex_y;sex_x;sex_text	
1	testosterone	3	testosterone_detection	3	1	female_postmenopause	6	joint_1	2	oophorectomy;hysterectomy;pregnancies;pregnancy	sex_y;sex_x;sex_text;age;body;body_log;region;season;alteration_sex_hormone	
1	testosterone	3	testosterone_detection	3	1	female_postmenopause	6	joint_2	3	oophorectomy;hysterectomy;pregnancies;pregnancy	sex_y;sex_x;sex_text;age;body;body_log;region;season;medication_vitamin_d;alteration_sex_hormone;cholesterol_imputation;vitamin_d_imputation;oestradiol_imputation	
1	testosterone	3	testosterone_detection	3	1	female_postmenopause	6	joint_3	4	oophorectomy;hysterectomy;pregnancies;pregnancy	sex_y;sex_x;sex_text;age;body;body_log;region;season;medication_vitamin_d;alteration_sex_hormone;cholesterol_imputation;vitamin_d_imputation;oestradiol_imputation;steroid_globulin_imputation;albumin_imputation	
1	testosterone	3	testosterone_imputation	4	0	female	2	unadjust	1	pregnancy	sex_y;sex_x;sex_text	
1	testosterone	3	testosterone_imputation	4	0	female	2	joint_1	2	menopause_ordinal;oophorectomy;hysterectomy;pregnancies;pregnancy	sex_y;sex_x;sex_text;age;body;body_log;region;season;alteration_sex_hormone	
1	testosterone	3	testosterone_imputation	4	0	female	2	joint_2	3	menopause_ordinal;oophorectomy;hysterectomy;pregnancies;pregnancy	sex_y;sex_x;sex_text;age;body;body_log;region;season;medication_vitamin_d;alteration_sex_hormone;cholesterol_imputation;vitamin_d_imputation;oestradiol_imputation	
1	testosterone	3	testosterone_imputation	4	0	female	2	joint_3	4	menopause_ordinal;oophorectomy;hysterectomy;pregnancies;pregnancy	sex_y;sex_x;sex_text;age;body;body_log;region;season;medication_vitamin_d;alteration_sex_hormone;cholesterol_imputation;vitamin_d_imputation;oestradiol_imputation;steroid_globulin_imputation;albumin_imputation	
1	testosterone	3	testosterone_imputation	4	0	female_menstruation_regular	3	unadjust	1	pregnancy	sex_y;sex_x;sex_text	
