execution	cohort	cohort_sort	dependence	dependence_sort	dependence_type	model	model_sort	independence	model_note
1	female_male	1	depression_control_case_loose	1	logistic	1	1	sex_y;age;body_log;region;season;medication_vitamin_d;alteration_sex_hormone;cholesterol_imputation;vitamin_d_imputation;oestradiol_imputation;testosterone_imputation;steroid_globulin_imputation;albumin_imputation	
1	female_male	1	depression_control_case_strict	2	logistic	1	1	sex_y;age;body_log;region;season;medication_vitamin_d;alteration_sex_hormone;cholesterol_imputation;vitamin_d_imputation;oestradiol_imputation;testosterone_imputation;steroid_globulin_imputation;albumin_imputation	
1	female	2	depression_control_case_loose	1	logistic	1	1	menopause_ordinal;oophorectomy;hysterectomy;pregnancies;age;body_log;region;season;medication_vitamin_d;alteration_sex_hormone;cholesterol_imputation;vitamin_d_imputation;oestradiol_imputation;testosterone_imputation;steroid_globulin_imputation;albumin_imputation	
1	female	2	depression_control_case_strict	2	logistic	1	1	menopause_ordinal;oophorectomy;hysterectomy;pregnancies;age;body_log;region;season;medication_vitamin_d;alteration_sex_hormone;cholesterol_imputation;vitamin_d_imputation;oestradiol_imputation;testosterone_imputation;steroid_globulin_imputation;albumin_imputation	
1	male	3	depression_control_case_loose	1	logistic	1	1	age;body_log;region;season;medication_vitamin_d;alteration_sex_hormone;cholesterol_imputation;vitamin_d_imputation;oestradiol_imputation;testosterone_imputation;steroid_globulin_imputation;albumin_imputation	
1	male	3	depression_control_case_strict	2	logistic	1	1	age;body_log;region;season;medication_vitamin_d;alteration_sex_hormone;cholesterol_imputation;vitamin_d_imputation;oestradiol_imputation;testosterone_imputation;steroid_globulin_imputation;albumin_imputation	
