execution	group	name	identity_self_white	ancestry_white_british	bipolar_disorder	alcohol_ever	alcohol_current	alcohol_moderate	sex_text	female_age_grade	female_menopause	female_menstruation	female_pregnancy	male_age_grade	kinship_unrelated	priority_female	dependence	dependence_scale_transforms	dependence_logical_binary	variables_nonmissing	variables_prefix_nonmissing	independence	independence_prefix	independence_scale
1	reference	white_british_unrelated_female_male	1	1	None	None	None	None	female;male	None	None	None	None	None	1	1		0	0	sex_text;sex_y;sex_x;eid;IID;white_british;genotype_array_axiom	genotype_pc_	sex_y;sex_x;genotype_array_axiom	genotype_pc_	0
1	reference	white_british_unrelated_female	1	1	None	None	None	None	female	None	None	None	None	None	1	0		0	0	sex_text;sex_y;sex_x;eid;IID;white_british;genotype_array_axiom	genotype_pc_	sex_y;sex_x;genotype_array_axiom	genotype_pc_	0
1	reference	white_british_unrelated_male	1	1	None	None	None	None	male	None	None	None	None	None	1	0		0	0	sex_text;sex_y;sex_x;eid;IID;white_british;genotype_array_axiom	genotype_pc_	sex_y;sex_x;genotype_array_axiom	genotype_pc_	0
1	body_bipolar_disorder	white_british_unrelated_female_male_bipolar_control_body	1	1	0	None	None	None	female;male	None	None	None	None	None	1	1	body	1	0	sex_text;sex_y;sex_x;age;eid;IID;white_british;genotype_array_axiom	genotype_pc_	sex_y;sex_x;age;genotype_array_axiom	genotype_pc_	0
1	body_bipolar_disorder	white_british_unrelated_female_male_bipolar_case_body	1	1	1	None	None	None	female;male	None	None	None	None	None	1	1	body	1	0	sex_text;sex_y;sex_x;age;eid;IID;white_british;genotype_array_axiom	genotype_pc_	sex_y;sex_x;age;genotype_array_axiom	genotype_pc_	0
1	alcohol_consumption	white_british_unrelated_female_male_alcohol_quantity	1	1	None	1	1	None	female;male	None	None	None	None	None	1	1	alcohol_drinks_monthly_combination	1	0	sex_text;sex_y;sex_x;age;body;eid;IID;white_british;genotype_array_axiom	genotype_pc_	sex_y;sex_x;age;body;genotype_array_axiom	genotype_pc_	0
1	alcohol_consumption	white_british_unrelated_female_alcohol_quantity	1	1	None	1	1	None	female	None	None	None	None	None	1	0	alcohol_drinks_monthly_combination	1	0	sex_text;sex_y;sex_x;age;body;eid;IID;white_british;genotype_array_axiom	genotype_pc_	sex_y;sex_x;age;body;genotype_array_axiom	genotype_pc_	0
1	alcohol_consumption	white_british_unrelated_male_alcohol_quantity	1	1	None	1	1	None	male	None	None	None	None	None	1	0	alcohol_drinks_monthly_combination	1	0	sex_text;sex_y;sex_x;age;body;eid;IID;white_british;genotype_array_axiom	genotype_pc_	sex_y;sex_x;age;body;genotype_array_axiom	genotype_pc_	0
